,Title,Author,Fandoms,Required_tags,Datetime,Tags,ChatGPT_Tag,Summary,Language,Words,Chapters,Comments,Kudos,Bookmarks,Hits,Chapter_text
0,It Started With A Pack of Budweiser,LFCAndalusia23,Men's Football RPF,[],23 Mar 2023,"['No Archive Warnings Apply', 'Jürgen Klopp', 'Jesse Marsch', 'Pepijn Lijnders', 'Liverpool FC Players', 'James Milner', 'Fábio Henrique Tavares', 'Alisson Becker', 'Hurt/Comfort', 'Fluff', 'Late Night Conversations', 'Drunkenness', 'but only mild', 'Anxiety', 'Male Friendship']",No,"Jurgen Klopp had first ran into Jesse Marsch years ago. But the two had never been very close. That is, until Jesse shows up on his doorstep...",English,918,1/?,,,,0,"Chapter Text


They’d just fired him.


How could this be? What kind of injustice is this?


At first, Jesse Marsch had been angry. He’d blamed the U.S. government, the Premier League, the wind, coffee, referees—you name it, he blamed it. But after a full fifteen minutes of ranting to his wall, Marsch’s fury vanished, leaving behind a giant Leeds-shaped hole in his heart.


He’d thought Leeds would keep him forever. And now it was all gone, stolen from him by some money-loving—


Jesse Marsch! He scolded himself, slapping his own thigh. He was sure the heavy slam had left a bruise, but he didn’t care. He needed to get out of this house, away from this city, somewhere. But where?

Judging by how the news had just come out, news of his sacking was probably on Monday Night Football. That meant wherever Marsch would try to go, somebody would recognize him. That bars out the pub.

He couldn’t breathe anymore. Everything around him served as a symbol of what he’d lost, the life he’d lived for little over a year. He threw together some things in an overnight bag and jumped into his car.

*

Klopp blankly stared out the window of his room. Not his room in Kirkby, which had truthfully become more of a home to him, but the house he’d rented from Rodgers.

He wouldn’t admit this to anybody, but Klopp had completely run out of ideas as to why Liverpool were doing so horribly. So after the Wolves game, Klopp went straight back to his house. He needed to step away from his job, even for half an hour.

As soon as he’d shut the door, though, Klopp had a new problem. The house lacked the sounds of daily life.

There was no sound of Nemmer or Thiago dropping a baking sheet or pot. No sound of Robertson and Alexander-Arnold chattering away, or Tsimikas remixing his rap songs, or Adrian’s snoring. There was no la-la-la from Van Dijk singing in the shower, no boom from Alisson’s ball cannon, not even a hiss from the coffee maker.

It was too quiet…until car tires screeched through the night. Then a car door slammed, and a trunk opened, and something wheeled across the driveway.

Then the doorbell rang.

Klopp jumped from his seat to answer, thinking it was one of the boys or even Lijnders. What he didn’t expect was a groveling American in blue jeans and a gray sweater.

“Take me in, please!!!”

Jesse Marsch was at his doorstep.

Jesse flipping Marsch.

*

“Jesse Marsch!” Klopp exclaimed. “How the hell did you find my house?!”

Marsch didn’t get off the ground. He clung to Klopp, temporarily immobilizing the German. “I don’t know how I got here! I just did!”

Klopp couldn’t believe what he was hearing. “So you arrived at my house without even knowing my address?”

“I was fired,” Marsch moaned, finally removing himself from the ground. “So I came to your place. You’re the only one who let me in—everybody else turned me away.”

“Who did you go to?” If it was one of his boys who’d turned Marsch away and made him this hysterical, then Klopp had a serious talk to give out.

Marsch shrugged, calmer than he’d been at first. “Well…Erik’s, Antonio’s, Ole’s and Gary’s.”

“You do realize that three of those four are Man. U affiliated and the fourth isn’t even in the country, right?”

Klopp could spot Marsch’s flushed face from a mile away. “I guess you’re right. But as long as you’re up…I brought Budweiser.”

“Come in.” Klopp shook his head, opening the door. “You’re lucky I’m not Jose or you wouldn’t have lasted two minutes.”

*

Marsch sat at the counter, watching Klopp grated cheese over a frozen pizza. For a while neither one of them said anything, to each other or to themselves. The only sound was the Parmesan rubbing against the grater and the oven warming up. Once the oven timer signaled that it was ready for the pizza, the talking began.

“So they sacked you,” Klopp began, pouring potato chips into a serving bowl. “I think that sucks.”

He regretted the word choice almost before the words left his mouth. But it seemed like the best way to put it.

“I just don’t get it. I mean, I did the best I could!” Marsch lamented. He didn’t even seem interested in the potato chips. “I saved Leeds from relegation on the final day, and I fell in love with them. Haven’t you ever been sacked?”

“I stepped down from Mainz and Dortmund. But I never got sacked.”

“Well, imagine if they ripped you away from your boys,” Marsch said, slowly nibbling on a chip. “And you left in disgrace from the people who once chanted your name.”

Klopp nodded in understanding. “I hate the thought of that. Couldn’t they give you something? More time, understanding, remembering what you’d done for them before? You were only there for one year.”

Marsch shook his head. “Leeds owners aren’t that understanding. I wish I had your owners.”

“Trust me, you were better off. I speak from experience. At least Man. City's owners allow them to buy players.”

“Their owners got hit with more than 100 charges against Fair Play rules.”

“Fair.” Klopp reached into the bowl only to hit the bottom of it. “More chips?”

Marsch flashed him a lopsided thumbs-up. “Only advantage about this is that we get to eat as many chips as we want.”"
1,lightning-struck,tigriswolf,"Scream (Movies), Highlander: The Series",[],23 Mar 2023,"['Creator Chose Not To Use Archive Warnings', 'Stu Macher', 'Methos (Highlander)', 'Canon-Typical Violence', 'Canonical Character Death', 'Anger', 'Grief/Mourning']",No,"Stu wakes up in a coffin and thinks, fuck.",English,711,1/1,,,,0,"Stu wakes up in a coffin and thinks, fuck. Last thing he knew, Sidney dropped a TV on his head and he was also bleeding out but currently, nothing hurts. He shifts around, determines he is actually in a coffin (the fuck?), and considers what to do.

Well, obviously, nothing can be done until he's out of the coffin, so he gets to work.

.

As he breathes the cool night air, Stu looks at the placemarker where a headstone should be. That tells him a little about how long it's been. Since he clearly won’t be able to get away with being an innocent survivor (he was fucking buried), Stu fixes the gravesite back to looking freshly-laid and not like someone just crawled out of it.

First things first, a change of clothes and some food. Then, finding out what the fuck happened.

.

What happened was that Sidney fucking Prescott somehow managed to kill both Stu and Billy, and not only that, but Gale Weathers, Tatum’s idiot brother, and fucking Randy Meeks all survived.

Billy died but Randy is still alive, and Stu seethes.

.

Billy died.

That’s… not an outcome Stu ever imagined. He figured there’s a good chance he himself wouldn’t make it, but Billy—

Billy doesn’t even have a grave. They cremated him. Makeshift memorials have gone up all over Woodsboro for everyone, all the way back to Sid’s mom, but Billy gets nothing.

Four days out of the grave, and Stu has never been so furious..

In a diner in Oregon, with a plateful of breakfast hash and a notebook full of half-baked ideas, Stu shivers as a tingle dances along his spine.

A pale guy slides into the booth across from him, messy dark hair that reminds him of Billy and a smirk that’s all teeth. Stu blinks at him but the guy just reaches out to steal his breakfast.

“Go on,” he says, adding salt and pepper to the hash, with a nod to the notebook. “I’m curious to see what you come up with.”

“Who the fuck are you?” Stu demands quietly because even though he’s supposed to be dead, everyone is still freaked out by the so-called Woodsboro Massacre. (Okay, the name is kinda cool. It still feels like failure because Billy—)

“Call me Ben,” he says, and now he’s reaching for Stu’s soda.

Stu just lets him take it. “Okay, Ben,” he hisses, pulling the notebook closer. “And what the fuck do you want?”

Ben’s pale eyes assess him as Ben leans back, still fucking smirking around Stu’s breakfast. “You need a teacher, kiddo,” he says, like he’s not barely older than Stu, from what Stu can tell. Stu’s normally good with accents but he can’t place Ben’s, just some bland Midwestern type thing.

“A teacher?” he echoes, because what?

“A mentor, an instructor, a trainer, take your pick,” Ben says before taking a gulp of the soda. “I’ve grown bored with my current circumstances, moralizing boyscouts always preaching at me, you know,” he continues though Stu, of course, does not know, “and you seem to be quite entertaining.”

Stu stares at him. He straightens up, pushes the plate and cup to the side, clasps his hands on the table. Seriously, quietly, he says, “You remind me of my brothers,” and he looks Stu straight in the eyes. “Without being tempered, you will attract attention and too much attention, Stuart, is fatal for our kind.” Ben grabs the knife from the tableware still wrapped in a napkin, scoffs at it, and as Stu watches in bewilderment, he slices open the pointer finger of his right hand.

And then, lightning dances across the finger, leaving unscored skin in its wake.

“What the fuck,” Stu murmurs. Ben just smirks at him again. Still. Stu wonders, inanely, if the bastard can even make another expression.  “Just… what the fuck.”

“Are you finished with breakfast?” Ben asks, pulling out his wallet. “I’m quite curious about the plans you’ve got in there.” He tilts his head toward Stu’s notebook, which Stu quickly flips closed.

Stu now leans back, crosses his arms over his chest. Then, he shrugs, says, “Ah, what the fuck,” and when Ben throws down a 20, he follows the guy out into the bright morning."
2,"Dessert First, Dinner Later",earthliving,Arcana Twilight (Visual Novel),[],01 Jan 2023,"['Creator Chose Not To Use Archive Warnings', 'Pollux (Arcana Twilight)', 'Reader', 'Summoner | Main Character (Arcana Twilight)', 'Arcturus (Arcana Twilight)', 'Fluff', 'Food Kink', 'Suggestive Themes']",No,You surprise Pollux with a human world dessert you think he'll enjoy - but he's in the mood for something even sweeter.,English,733,1/1,,,,0,"It was the holiday season in Bound Arlyn, and you wracked your brain thinking of something special to give to Pollux. He frequented all of the local bakeries and candy shops in town on a regular basis so surprising him with holiday treats was next to impossible. He loved it when you went on dates with him to share sandwiches and creamy milkshakes, but you weren’t convinced it was special enough.Inspiration struck you one day when you were helping Arcturus in the academy kitchen. He was making a cheese sauce to accompany one of the side dishes at dinner. You were whisking the sauce to keep it from burning to the bottom of the pot.“Hey, Arcturus?”He hummed in acknowledgement while he was bent low, pulling a hot pan from the oven.“Have you ever had fondue?”Arcturus placed the tray on a cooling rack and took off his oven mitts. “Hm, I’m not sure that sounds familiar.”You explained to him it was like a presentation of a warm cheese used for dipping bread, potato, or certain types of fruit.“Oh, that sounds delicious!” Arcturus beamed at you. “I bet Pollux would love that too.”You experimented in the kitchen when you had free time. You decided to try making a chocolate fondue dip, experimenting with the ratios of cream, chocolate, and vanilla before adding a touch of sweet brandy.When you perfected your recipe, you walked into town to gather the missing items for Pollux’s gift. You couldn’t find a fondue pot, but you were able to find a small serving dish you could keep warm with a small lantern. You visited the bakery and grocer, picking up cookies and fresh fruits to slice and use for dipping. You gave Pollux a handwritten invitation to join you in your room later that evening. He blushed when he took the envelope from you, reading the card with a pleased twinkle in his eyes. “Are we having a tea party?” he asked excitedly. Tea parties always involved some sort of dessert.“Something like that.” You smiled at him and kept your response vague. You wanted to give him something to look forward to.Your plan went off without a hitch. Pollux arrived at your door right on time, wearing an elegant suit you’ve never seen before. He blushed and handed you a small bouquet of beautiful flowers. “These only bloom during the coldest months of the year,” he explained while you found a small vase to put them in. The blue and purple flowers almost looked like they were covered in fresh, powder-white snow. You wrapped your arms around him and pulled him close. “They’re beautiful, thank you.” The flush on his face deepened even more when you stood on your toes and kissed his cheek.He followed you to the little table you set up near the balcony doors, the dip already prepared and warming over a gentle flame. Pollux leaned over and looked into the pot.“Chocolate?”You used a small fork to pierce a slice of strawberry. “It’s a dish from back home,” you explained as you dipped the strawberry into the pot. “It’s a warm dip called fondue. It’s popular to make with cheese.” You leaned forward, cupping your hand under the fork and holding it in front of his mouth. “I thought you might enjoy trying the dessert version instead.”He held your gaze, eyes glittering while he wrapped his lips around the fruit and slid it off the fork. There was a small smudge of chocolate in the corner of his mouth. He wrapped his hand around your wrist before you could pull away. He put the fork back into his mouth, letting it slide between his lips while he chased the lingering hints of chocolate left behind. He grinned while he licked his lips.You set the fork back down on the table, and you looked at each other for a moment. Pollux turned away first, drawing a chair from under the table and taking a seat. He slowly unbuttoned his dinner jacket and loosened the tie around his neck. He had a teasing smile but the glint in his eye was no less hungry. He leaned back in his chair and patted his lap invitingly. You could already see the outline of his bulge straining against the zipper of his pants.“I’m starving.”"
3,untitled,ikigaijaem,Yellow,[],23 Mar 2023,"['Creator Chose Not To Use Archive Warnings', 'Freeform']",No,and she embraced the chaos as it painted her life with purpose.,English,205,1/1,,,,0,"His eyes were so warm and intense on me that I was sure he could read all my thoughts, everything I felt and thought about him, written on my pupils.It's not the same anymore. But I had enough time and enough reason to accept, that it's not the same anymore.Meeting you was like listening to a song for the first time and knowing it would be my favorite. You were the calm in my life of storm. I love talking to you even though I have nothing to say.When I saw you smile for the first time we were together, all I could think was ""Oh shit:.


 I wish I could explain those stars in my eyes when I'm with you. It's as if my soul was already in love with you and the rest of my body was just catching. You were an unexpected surprise, the defining moment. The collision of stars that slammed into me hard and sent my neat little world plummeting into the ocean.


I never expected it to be you. But it was you, and now you're not. And I hope, I'll see you again, when the roads decide it's time, for our paths to cross again."
4,The Sun and The Moon | Ada Wong,glitchbunni,Biohazard | Resident Evil (Gameverse),[],23 Mar 2023,"['No Archive Warnings Apply', 'Ada Wong', 'Leon S. Kennedy', 're4', 'Ada POV', 'Mentioned Leon S. Kennedy', 'salazar castle', 'Game: Resident Evil 4 (2005)', 'takes place in chapter 3-2', 'Sun and Moon Symbolism', 'Internal Monologue']",No,"Ada sits perched atop a windowsill in the Salazar Castle and looks up at the moon, and down at her version of the sun.",English,826,1/1,,,,0,"Ada: Salazar Castle: Bedroom:

 
I sat perched atop a windowsill, looking out at the green maze below. The bushes rustled in the cool wind, and the stars shone from above, peeking behind the clouds. The moon was nestled in between them comfortably, overlooking all, just like me. I thought me and the moon might get along quite well, always staring in the night, and disappearing by the time dawn breaks. And to my amusement, it turned out that the sun himself was down in that maze, shooting his gun at parasitic creatures. I smiled to myself, watching him dart around the garden in search of the two halves of the crescent moon that would grant him access to the bedroom– it seemed as if the sun was always in search of the moon, no matter the circumstances. I couldn’t be bothered by the tacky puzzle, so I just used my grappling hook to slide through an open window. The same window I’m sitting on right now, dancing on a fine line between plummeting down to the horrors below, and the safety of the red-plush carpet. 

Leon, the bright beam of sunshine, held the other half of the crest in his hand, fitting it together to see if they would click. In his hands now, he held the entire stone object. Too big to fit in his pockets, he held it in the crook of his arm and made his way around the maze, making his way to me. I smiled softly, tilting my head and seeing his oh-so determined expression. Seven years he hasn’t seen me, for seven years he’s thought of me as dead. I guess in some way that was true, when have I ever been alive? Through the thrill of a mission, maybe. But as a person? Who lives, and breathes normally? Who can get by without working for shady organizations and betraying them? No, I don’t think so. I’m like the phantoms that are surely stalking the halls of this castle, maybe even watching me right now. 

I suppose the only times I feel alive are when I’m around him. There’s always an exciting feeling that pulls on the deepest strings of my heart, exhilaration, excitement, and sometimes also sorrow. The sorrow of knowing that because of the roles we’ve decided to take in society, we could never wake up beside each other every day. I’d be lying if I said I wasn’t thinking about him every moment I had to myself, now I’d see him again, be able to hear him talking directly to me, be able to study the bags under his eyes, and the new length of his hair. I’m sure he’ll do the same for me, look at the black flutter of my eyelashes and make his way down to the shiny red fabrics of my dress, then finally to my strappy heels. Not like I won’t play my game though, he’ll have to catch me first. Can’t forget I also have a task at hand, to collect the sample. 

These creatures have shaped out to be quite a pain, however. The village chief was gone, courtesy of Leon, so he won’t be getting in the way anymore. Can’t say for that bratty Salazar, or Saddler. I’m sure they’ll be gone in due time, however. We always have these ways of working things out. It’s funny, of all the things we can do alone, we always fall apart when we’re together. Life works in such mysterious ways, it fascinates me. Always on the run, always watching and waiting but never settling. Me and the moon, Leon and the sunshine. The sun and the moon, always running to catch one another, always worlds away. 

Of all the people I’ve tricked and conned, I couldn’t find the courage in myself to do it to Leon. Sure, I’ll play games with him, smile, walk away and eventually vanish, but when it comes to it, I won’t lie to him. The truth is valuable, and it can save lives. Maybe even sometimes destroy them, believe me, I’ve learned that the hard way– but not when it comes to Leon. I’ll help him with his mission, and in the end, he’ll help me with mine. Everything always comes full circle. 

Even in terms of the moon. 

Even when covered partially by clouds, the spherical shape always resides behind the darkness, hiding, 

Always with the sun, 

It’ll always burn brightly. 

Breathing in the crisp night air, I hopped down from the window and walked slowly behind the door, red painted nails shining against the shiny silver of my gun. I could feel it this time, the pounding in my heart, the anticipation. There was a click at the door, the crest was being set into place. 

Pushing up my sunglasses, a smile played across my glossed lips. 

It was time to say hello. 

It was time to bask in the light of the sun."
5,Only for now mi novio,UnderUninterested,"Minecraft (Video Game), qsmp, Dream SMP, Karmaland SMP",[],23 Mar 2023,"['No Archive Warnings Apply', 'Noah Brown | Foolish Gamers', 'Osvaldo Palacio Flores | ElMariana', 'i have been absorbed by this duo i will never feel normal again', 'Unrequited Love', 'Not Actually Unrequited Love', 'Stranded', 'theyre both awkward', 'Flower Symbolism']",No,Basically ElMariana and Foolish breaking up except I made it hurt a bit more and also added more dialogue.QSMP QSMP QSMP!,English,396,1/1,,,,0,"“I just don’t think we’re ready.” There’s so much to say, bubbling up behind a wall keeping the emotions at bay. They’re not even far from the group, but Foolish had to say it, he clutches the poppy close to his chest. The delicate flower that he hadn’t let go of since he got it. The red is just as vibrant as he hands it back to the shorter. Hands barely grazed one another and yet it felt like too much- perfect- not enough. Mariana brought a hand up to stroke the petals, they hadn’t begun to wilt despite how long they remained without water. Still, Mariana brought it close to his chest as Foolish had done moments ago. It was almost enough to stop the confusion and sadness. 
 
There was so much they could tell each other. Maybe in another life, this moment was where they talked and realized they could love. That this new environment was a fresh start where they could learn. Be together with nothing holding them back. Grow a garden of flowers. Instead, Mariana continued to clutch the singular flower and look up at Foolish with a small hesitant kind of smile. “When- When you are ready. I will be here.” 
 
“Right.” Foolish grinned but it lacked teeth, something more intimately dejected. He paused, debating his next move before taking a step closer and bringing the other into a hug. Mariana held the flower between them but used his one free arm to return the hug. Head resting on the other chest he could hear the thundering heartbeat and it strangely… gave him comfort. The other wasn’t content either, but Mariana wasn’t going to push or pressure, not with the wound so freshly cut. 
 
They pulled away, and he.. well, Mariana couldn’t find what to say. Not in english. “mi amor no se empañara como el oro de tu piel” and he means it. Foolish nods even though he doesn’t understand, and his smile grows wider. 
 
Then the shark takes a step back, then another. Mariana waves, and they both turn away. 
 
There was so much more to them than they could currently remember. Foolish and Mariana an unlikely duo. A god and a man, ageless and young, they barely speak one anothers language. Yet they seem inexplicably intertwined; the passion of love transcends. It will return; they’re far too enchanted."
6,unknown omega,hintfaf,Kingsman (Movies),[],23 Mar 2023,"['No Archive Warnings Apply', 'Beta Eggsy Unwin', 'Omega Eggsy Unwin']",No,"help me please,it's 2 am and I've been trying to fid a very specific pic for three days noweggsy is an omega but believes himself/was drugged into being a beta.during//after trials he 'becomes' an omega and enters a merhartwin relationship",English,160,1/1,,,,0,"Hi all,So sorry about this but I'm going completely insane trying to fid this picI keep getting close and works similar to the one I'm looking for but not actually it- Takes places during trials/vday- Eggsy believes himself to be a beta. He's been given medication all his life. Michelle is adamant that he go to the doctor for his next dose of 'vitamins' but he misses a dose due to being in the Lancelot running. (Michelle is not loved in this pic, she believes she was justified in inadvertently harming eggsy by suppressing his omega)- Merlin and Harry and in a relationship. EITHER they are both alphas OR one is alpha one is beta (I can't remember the exact details) but either way they are already in an established relationshipI'm pretty sure the work is completedplease help me find this, I'm losing what's left of my brain cellsthank you so much,hintfaf xxx"
7,nightcord,mirrormazes,プロジェクトセカイ カラフルステージ！| Project SEKAI COLORFUL STAGE! (Video Game),[],23 Mar 2023,"['Creator Chose Not To Use Archive Warnings', 'Yoisaki Kanade', 'Tenma Saki', 'Tenma Tsukasa', 'Ootori Emu', 'Akiyama Mizuki', 'Shinonome Ena', 'Shinonome Akito', 'Hinomori Shiho', 'Hinomori Shizuku', 'Asahina Mafuyu', 'Kusanagi Nene', 'Kamishiro Rui', 'Hoshino Ichika (Project SEKAI)', 'Mochizuki Honami', 'Momoi Airi', 'Hanasato Minori', 'Kiritani Haruka', 'Shiraishi An', 'Azusawa Kohane', 'Aoyagi Touya', 'Chatting & Messaging', 'She/Her Pronouns for Akiyama Mizuki', 'Polyamory', 'Light Angst', 'No Plot/Plotless', 'discord basically', 'Other Additional Tags to Be Added']",No,,English,156,1/1,,,,0,"25JI.

 

6:00 pm 

 

amia


do y’all think miku has a phone in the sekai 
 

k


I doubt it.
 

enanan 


she might…? have you asked her?
 

yuki 


She does not, unfortunately. 
 

amia


man :c 
 

amia


wait gtg moms calling me for dinner 
 

amia is now offline.

 

k


She eats dinner awfully early…
 

enanan


k, i don’t think 6:00 is that early… you just eat dinner late.
 

yuki


Well, she’s busy with work after all. 
 

enanan 


and she’s malnourished. don’t support her yuki 
 

k


I appreciate your concern. I’m okay, though. I’ll eat dinner after I finish this song.
 

yuki


You work very hard, K. It’s alright to take a break. 
 

k


I’ll try… thank you, Yuki.
 

enanan


i gtg eat dinner and finish this art project… talk to y’all later!! :P
 

enanan is now offline.

 

yuki


Mother is home. I should be going too. Take care, K.
 

yuki is now offline. 



k is now offline."
8,Sorry but they deserved better :),snomberry,"Dangan Ronpa 3: The End of 希望ヶ峰学園 | The End of Kibougamine Gakuen | End of Hope's Peak High School, Dangan Ronpa Series",[],23 Mar 2023,"['No Archive Warnings Apply', ""Hope's Peak Student Council Member(s) (Dangan Ronpa)"", 'Ikusaba Mukuro', 'Kamukura Izuru', 'Yoko Shoji (Dangan Ronpa)', 'Murasame Soshun', 'Nishizawa Kiriko', 'Umesawa Aiko', 'Hino Asukasei', 'Kubo Daiki', 'Ikuta Kotomi', 'Alternate Universe - Canon Divergence', 'Canon Rewrite']",No,"Just a lil snippet where Izuru stops the first Killing Game instead of letting it happen. From Shoji's POV. No, of course I'm not salty he's the only one who doesn't get a speaking line in-universe, what gives that impression? /s",English,699,1/1,,,,0,"The door slid open. A pretty, but stone-faced girl with short black hair and freckles walked in. She had a giant black bag slung over her shoulder, but either it was empty or she was strong enough not to notice the weight. The clicking of her footsteps echoed around the silent room, the only other sound being quiet gasps of confusion from some of my classmates. I glanced over at the still-open door. A figure lurked there in a black suit. Red eyes glowed between long, dark locks that obscured most of his face and flowed to the floor.

The girl reached the teacher's desk. For a moment, there was complete silence. She dropped the bag on the desk.

Soshun didn't waste a second. He stepped forward, his voice swelling into Student Council President Mode™. ""You! Talk! I don't know where you get off threatening us, but it's not going to work!""

Kiriko's voice wavered for a moment as she piped up. ""Th-that video...was it real?""

The girl remained silent.

""Why'd we have to hold this dumb meeting so late?"" Aiko pouted, resting her chin on her fists.

""This is not at all how we operate."" Hino added, and Kubo nodded furiously.

The girl finally spoke, her voice softer than I expected. ""Student Council members. In accordance with my sister's will, you will now murder each other.""

My eyebrows shot up. Murder?!

A chair scraped against the floor. ""Are you crazy?!"" Ikuta burst out, slapping her hands on the desk in front of her. ""Why the hell would we do something like that?!""

Soshun turned to her and flung out his hand. ""That's enough! It's essential that we all remain calm!"" If the situation wasn't so serious, I would've snorted. He knew, probably better than anyone, that trying to calm Ikuta was fruitless. ""Should we succumb to--""

""Hold it."" The voice was low and quiet, but somehow stunned even Soshun into silence. Everyone's heads turned in near-unison. The girl was pointing a gun at Ikuta. I could tell from her stance she knew what she was doing with it. Her line of sight was clear, and her thumb rested on the safety.

The long-haired boy entered the room, but she held the gun steady. He continued, ""I have changed my mind.""

The girl's eyes widened, and she whipped her head around to look at the boy, gun still trained perfectly on Ikuta. ""Wh-what?! Don't you want to see true Despair?""

The boy snorted and closed his eyes. ""Killing...is not true Despair. Killing, Death...are not interesting. They're...predictable. You kill her, they kill each other. Maybe you. But that small variation alone is not enough to be...unique.""

There was a blur of motion, and suddenly the gun was in his hand,  pointed at the girl. ""If this is truly the best Despair has to offer me...then I'll be on my way."" The gun clattered to the floor, and he turned to leave.

""Wait! But Junko--""

""Junko is also...not unique. Besides, this was not what she predicted from me. Wouldn't that...give her that Despair she loves so much?"" He dragged out the word ""Despair"" with as much venom as his completely deadpan voice could muster. ""Tell your sister to come back when she comes up with something actually exciting."" He left the room, the girl running after him.

Nobody spoke. Ikuta slowly sat back down. Soshun approached the desk and pulled open the bag. ""This is...an obscene amount of weapons!"" he said, mostly to himself. He turned back to face us. ""I'm going to confiscate these and take them to our headmaster. I think it would be best if we all departed before she returns.""

Several nods of agreement, and we dispersed back to our rooms. Ikuta didn't say a word, just nodded to everyone and left. I wasn't exactly surprised, though; that mouth of hers nearly got her killed.

I went back to my room and lay on the bed, staring at the ceiling. Would we...have really done it? Could any of us have...actually killed each other? No, definitely not. That would be ridiculous.

I rolled over and fell asleep."
9,"when did you get so pretty, park gunwook?",,Boys Planet (Korea TV),[],23 Mar 2023,"['Creator Chose Not To Use Archive Warnings', 'Han Yujin (Boys Planet)', 'Park Gunwook', 'Kim Jiwoong (Boys Planet)', 'Terazono Keita', 'Fluff', 'Angst', 'Canon Compliant', 'yujin is just an anxious bundle of nerves']",No,Han Yujin didn't expect this.Neither did Gunwook.But the sports day happened anyway.,English,573,1/?,,,,0,"Chapter Text
Yujin couldn't help it.
It wasn't his fault.
It just happened that way.He was watching just like everyone else. Watching as each trainee walked out with a wig and light makeup.And then there was Gunwook.Why Gunwook? What drew him to Gunwook? Nothing had. At least, not before... but now...Gunwook looked so pretty, he should dye his hair a light orange. His sharp features had a new edge in this light. In the pastels.They'd never even spoke - not really, there wasn't a chance.
And Yujin was anxious.Han Yujin was always anxious.
Gunwook made him anxious before because he was so driven, right? He was so determined, so praised...
Yujin was...""Yujin-ah, you okay?""
Jiwoong. Always looking out for him.
Yujin stared at his hands by the sink, looking up at himself through the reflection of the mirror.Never before had he considered boys. There just wasn't a chance.Wasn't a Gunwook.""Yeah, Hyung, just finishing up.""Yujin exited the bathroom, wiping his hands on his pants.Jiwoong rubs Yujin's hair as he walks past.""You've been so quiet lately,"" he says, ""you okay?""How does Yujin tell Jiwoong about this? Jiwoong acts in BLs, he wouldn't be rude about it.But Yujin doesn't even know how he feels.Maybe, maybe it's not Gunwook, maybe it's just girl-Gunwook.Voices trail down the hall, and Yujin stiffens, on edge.It's just Keita and Junhyeon.Yujin ignores how Jiwoong watches Keita.""I'm fine, just stressed about the next stage.""Jiwoong tears his gaze back to Yujin, you'll be great. I know it. Don't worry about anything, the masters are too harsh on you.""""Yeah... thanks.""
He feels horrible.***Yujin's dorm is empty that night. He's reading, the only occupied bed in the room. He doesn't know where the others are, and he doesn't want to deal with the chance encounter of Gunwook.Someone knocks on the door.""Come in!"" He calls.Gunwook pokes his head around the corner, and Yujin's heart sinks to his stomach.
The one person he was trying to avoid.Gunwook clearly doesn't know, or care. Completely oblivious to Yujin's feelings that just barely bubble bellow the surface.In the creeping edges of his mind, he sees another life. One where they meet for coffee at the store by Yujin's house, their hands swaying as they walk together in the park, cuddling up close in the cinema.His eyes burn at the life that never was.""Hey... Yujin-ah.""Everyone's informal because he's the baby. Of course.""Have you seen Sung Hanbin-hyung?Oh.""Uh, no, sorry.""Gunwook nods, lingering.Stay.""Alright, sorry to interrupt"" He looks at Yujin's hands, ""-your book.""Yujin looks down, completely oblivious to the fact he'd even been reading before.""Oh, no, it's okay, I'm barely reading it anyway.""Gunwook laughs. It's so, right. Like, what you want to hear. The laugh of someone who genuienly finds you funny.He wants to always make Gunwook laugh.""I can relate to that.""It's still for a moment. Yujin's hoping the cameras won't broadcast this to the world.It's their moment. The fresh encounter of two teenagers just finding their footing in the world.Please, let me have just this much.Gunwook sighs - not of annoyance - right? No, more like, I'll get going now, right?""I'll see you later, yeah?""Yujin nods, ""Yeah... later.""And Gunwook disappears out of sight, shutting the door quietly behind him.Shit."
